Sa=1.05,RSN181_IMPVALL.H_H-E06140.AT2,RSN825_CAPEMEND_CPM000.AT2,RSN8130_CCHURCH_SHLCS50E.AT2,RSN1536_CHICHI_TCU110-E.AT2,RSN1087_NORTHR_TAR090.AT2,RSN5664_IWATE_MYG005NS.AT2,RSN6906_DARFIELD_GDLCS35W.AT2,RSN1244_CHICHI_CHY101-N.AT2,RSN1505_CHICHI_TCU068-E.AT2,RSN179_IMPVALL.H_H-E04230.AT2,RSN1536_CHICHI_TCU110-N.AT2,RSN4856_CHUETSU_65025EW.AT2,RSN5657_IWATE_IWTH25NS.AT2,RSN1529_CHICHI_TCU102-N.AT2,RSN1505_CHICHI_TCU068-N.AT2,RSN4895_CHUETSU_5-G1EW.AT2,RSN1503_CHICHI_TCU065-N.AT2,RSN1492_CHICHI_TCU052-E.AT2,RSN8130_CCHURCH_SHLCS40W.AT2,RSN1063_NORTHR_RRS318.AT2,RSN828_CAPEMEND_PET090.AT2,RSN1244_CHICHI_CHY101-E.AT2,RSN1510_CHICHI_TCU075-E.AT2,RSN4896_CHUETSU_SG01NS.AT2,RSN1504_CHICHI_TCU067-E.AT2,RSN1529_CHICHI_TCU102-E.AT2,RSN181_IMPVALL.H_H-E06230.AT2,RSN1492_CHICHI_TCU052-N.AT2,RSN4847_CHUETSU_65010EW.AT2,RSN4896_CHUETSU_SG01EW.AT2
IDR1,0.090853,NaN,NaN,NaN,0.084273,NaN,0.053426,NaN,NaN,NaN,0.040589,NaN,0.031804,NaN,NaN,0.06,0.062376,0.088657,NaN,0.040379,NaN,NaN,NaN,0.064597,NaN,NaN,NaN,0.038062,0.02573,0.066537
IDR2,0.025834,NaN,NaN,NaN,0.0083979,NaN,0.0234,NaN,NaN,NaN,0.024702,NaN,0.01787,NaN,NaN,0.032402,0.021184,0.023301,NaN,0.023228,NaN,NaN,NaN,0.012927,NaN,NaN,NaN,0.016447,0.020913,0.020518
IDR3,0.01182,NaN,NaN,NaN,0.018368,NaN,0.0074425,NaN,NaN,NaN,0.011009,NaN,0.0076072,NaN,NaN,0.020259,0.010347,0.010774,NaN,0.014231,NaN,NaN,NaN,0.0068183,NaN,NaN,NaN,0.0061869,0.014979,0.013274
IDR4,0.012258,NaN,NaN,NaN,0.019759,NaN,0.0082768,NaN,NaN,NaN,0.010739,NaN,0.0092896,NaN,NaN,0.013321,0.01609,0.010139,NaN,0.013301,NaN,NaN,NaN,0.0073617,NaN,NaN,NaN,0.0094514,0.013667,0.0095947
IDR5,0.0055328,NaN,NaN,NaN,0.012856,NaN,0.0055711,NaN,NaN,NaN,0.0059234,NaN,0.0091188,NaN,NaN,0.017542,0.0075927,0.0055663,NaN,0.0081089,NaN,NaN,NaN,0.0052061,NaN,NaN,NaN,0.0055267,0.0069847,0.0053047
IDR6,0.0036558,NaN,NaN,NaN,0.006083,NaN,0.0040911,NaN,NaN,NaN,0.0038226,NaN,0.0049812,NaN,NaN,0.0077932,0.0042859,0.0040517,NaN,0.0050438,NaN,NaN,NaN,0.0034826,NaN,NaN,NaN,0.0042256,0.0045693,0.0040291
RIDR1,0.011021,NaN,NaN,NaN,0.083183,NaN,0.023446,NaN,NaN,NaN,0.0064434,NaN,0.0017772,NaN,NaN,0.055687,0.015161,0.02027,NaN,0.026093,NaN,NaN,NaN,0.025139,NaN,NaN,NaN,0.012586,0.0023772,0.019103
RIDR2,0.0022247,NaN,NaN,NaN,0.0021047,NaN,0.017036,NaN,NaN,NaN,0.00070504,NaN,0.0023725,NaN,NaN,0.02673,8.8544e-005,0.0092278,NaN,0.01551,NaN,NaN,NaN,0.0076794,NaN,NaN,NaN,0.0018935,0.0064517,0.013186
RIDR3,0.0057931,NaN,NaN,NaN,0.012071,NaN,0.0019723,NaN,NaN,NaN,0.0045482,NaN,0.00093619,NaN,NaN,0.010856,0.0030182,0.0041045,NaN,0.0022086,NaN,NaN,NaN,0.0016456,NaN,NaN,NaN,0.00022924,0.0085013,0.0083612
RIDR4,0.007586,NaN,NaN,NaN,0.0061045,NaN,0.0010098,NaN,NaN,NaN,0.0004527,NaN,0.0011537,NaN,NaN,0.0075872,0.001145,0.0029014,NaN,0.0085351,NaN,NaN,NaN,0.0021242,NaN,NaN,NaN,0.0039658,0.0054973,0.0046465
RIDR5,0.0007924,NaN,NaN,NaN,0.00014205,NaN,0.00015875,NaN,NaN,NaN,0.0001329,NaN,0.0035696,NaN,NaN,0.0071942,0.0018757,0.00021144,NaN,0.0032817,NaN,NaN,NaN,0.00016348,NaN,NaN,NaN,0.00014807,0.0010341,0.0004132
RIDR6,0.00036662,NaN,NaN,NaN,2.7316e-005,NaN,1.7934e-006,NaN,NaN,NaN,0.00019542,NaN,3.3827e-008,NaN,NaN,0.0022674,5.1014e-005,3.2404e-005,NaN,0.00037442,NaN,NaN,NaN,8.8065e-005,NaN,NaN,NaN,1.9158e-005,0.00026001,0.00022291
